,state_abbr,income,year
0,AL,46660.0,1984
1,AL,47790.0,1985
2,AL,49070.0,1986
3,AL,48960.0,1987
4,AL,47720.0,1988
5,AL,48780.0,1989
6,AL,51050.0,1990
7,AL,51340.0,1991
8,AL,53080.0,1992
9,AL,50340.0,1993
10,AL,53410.0,1994
11,AL,49870.0,1995
12,AL,56640.0,1996
13,AL,58450.0,1997
14,AL,65470.0,1998
15,AL,64120.0,1999
16,AL,60570.0,2000
17,AL,58790.0,2001
18,AL,62100.0,2002
19,AL,60270.0,2003
20,AL,57810.0,2004
21,AL,56980.0,2005
22,AL,56570.0,2006
23,AL,61350.0,2007
24,AL,62350.0,2008
25,AL,56280.0,2009
26,AL,56840.0,2010
27,AL,57360.0,2011
28,AL,57430.0,2012
29,AL,61770.0,2013
30,AL,54420.0,2014
31,AL,57330.0,2015
32,AL,60290.0,2016
33,AL,63820.0,2017
34,AL,61420.0,2018
35,AL,68110.0,2019
36,AL,65600.0,2020
37,AL,65360.0,2021
38,AL,63870.0,2022
39,AL,62230.0,2023
40,AL,65560.0,2024
41,AK,87220.0,1984
42,AK,90670.0,1985
43,AK,80420.0,1986
44,AK,82440.0,1987
45,AK,79190.0,1988
46,AK,82520.0,1989
47,AK,85880.0,1990
48,AK,85640.0,1991
49,AK,85970.0,1992
50,AK,86160.0,1993
51,AK,89100.0,1994
52,AK,92000.0,1995
53,AK,98660.0,1996
54,AK,87830.0,1997
55,AK,91520.0,1998
56,AK,90910.0,1999
57,AK,90360.0,2000
58,AK,95920.0,2001
59,AK,87160.0,2002
60,AK,83860.0,2003
61,AK,86900.0,2004
62,AK,85730.0,2005
63,AK,84100.0,2006
64,AK,91550.0,2007
65,AK,89710.0,2008
66,AK,86710.0,2009
67,AK,80320.0,2010
68,AK,77340.0,2011
69,AK,84090.0,2012
70,AK,94600.0,2013
71,AK,87040.0,2014
72,AK,96750.0,2015
73,AK,96680.0,2016
74,AK,97850.0,2017
75,AK,84540.0,2018
76,AK,95010.0,2019
77,AK,89650.0,2020
78,AK,93150.0,2021
79,AK,95670.0,2022
80,AK,100700.0,2023
81,AK,91260.0,2024
82,AZ,57750.0,1984
83,AZ,62240.0,1985
84,AZ,65400.0,1986
85,AZ,66360.0,1987
86,AZ,63240.0,1988
87,AZ,65430.0,1989
88,AZ,63870.0,1990
89,AZ,64820.0,1991
90,AZ,60380.0,1992
91,AZ,61230.0,1993
92,AZ,61460.0,1994
93,AZ,59210.0,1995
94,AZ,59140.0,1996
95,AZ,59910.0,1997
96,AZ,66960.0,1998
97,AZ,65440.0,1999
98,AZ,68020.0,2000
99,AZ,71410.0,2001
100,AZ,65620.0,2002
101,AZ,66600.0,2003
102,AZ,69200.0,2004
103,AZ,69400.0,2005
104,AZ,69550.0,2006
105,AZ,68620.0,2007
106,AZ,65770.0,2008
107,AZ,64380.0,2009
108,AZ,65120.0,2010
109,AZ,65480.0,2011
110,AZ,62160.0,2012
111,AZ,68680.0,2013
112,AZ,63390.0,2014
113,AZ,67300.0,2015
114,AZ,72900.0,2016
115,AZ,74900.0,2017
116,AZ,76600.0,2018
117,AZ,85650.0,2019
118,AZ,80470.0,2020
119,AZ,81310.0,2021
120,AZ,78300.0,2022
121,AZ,84800.0,2023
122,AZ,84700.0,2024
123,AR,42250.0,1984
124,AR,45490.0,1985
125,AR,48040.0,1986
126,AR,46710.0,1987
127,AR,48260.0,1988
128,AR,49120.0,1989
129,AR,49800.0,1990
130,AR,49420.0,1991
131,AR,49120.0,1992
132,AR,46240.0,1993
133,AR,50210.0,1994
134,AR,49530.0,1995
135,AR,50700.0,1996
136,AR,47880.0,1997
137,AR,49950.0,1998
138,AR,52500.0,1999
139,AR,50780.0,2000
140,AR,55750.0,2001
141,AR,53490.0,2002
142,AR,51770.0,2003
143,AR,55210.0,2004
144,AR,56230.0,2005
145,AR,55240.0,2006
146,AR,59290.0,2007
147,AR,55500.0,2008
148,AR,51430.0,2009
149,AR,53580.0,2010
150,AR,55620.0,2011
151,AR,51550.0,2012
152,AR,51400.0,2013
153,AR,57820.0,2014
154,AR,55130.0,2015
155,AR,58610.0,2016
156,AR,62420.0,2017
157,AR,61230.0,2018
158,AR,66100.0,2019
159,AR,60900.0,2020
160,AR,58310.0,2021
161,AR,57540.0,2022
162,AR,64880.0,2023
163,AR,64840.0,2024
164,CA,68160.0,1984
165,CA,70340.0,1985
166,CA,74400.0,1986
167,CA,74790.0,1987
168,CA,72460.0,1988
169,CA,75650.0,1989
170,CA,72750.0,1990
171,CA,70990.0,1991
172,CA,71780.0,1992
173,CA,68380.0,1993
174,CA,69390.0,1994
175,CA,71010.0,1995
176,CA,72550.0,1996
177,CA,72640.0,1997
178,CA,73900.0,1998
179,CA,77170.0,1999
180,CA,80050.0,2000
181,CA,79030.0,2001
182,CA,78340.0,2002
183,CA,79760.0,2003
184,CA,77690.0,2004
185,CA,79380.0,2005
186,CA,82460.0,2006
187,CA,81000.0,2007
188,CA,79930.0,2008
189,CA,79010.0,2009
190,CA,75370.0,2010
191,CA,71870.0,2011
192,CA,75340.0,2012
193,CA,79360.0,2013
194,CA,77850.0,2014
195,CA,81970.0,2015
196,CA,85080.0,2016
197,CA,87880.0,2017
198,CA,86690.0,2018
199,CA,94660.0,2019
200,CA,93140.0,2020
201,CA,93660.0,2021
202,CA,90930.0,2022
203,CA,92200.0,2023
204,CA,100600.0,2024
205,CO,69550.0,1984
206,CO,73470.0,1985
207,CO,69740.0,1986
208,CO,65680.0,1987
209,CO,62710.0,1988
210,CO,61430.0,1989
211,CO,67170.0,1990
212,CO,66430.0,1991
213,CO,66810.0,1992
214,CO,69210.0,1993
215,CO,74300.0,1994
216,CO,78100.0,1995
217,CO,76550.0,1996
218,CO,79120.0,1997
219,CO,84130.0,1998
220,CO,85210.0,1999
221,CO,82480.0,2000
222,CO,82600.0,2001
223,CO,79760.0,2002
224,CO,80790.0,2003
225,CO,80310.0,2004
226,CO,77380.0,2005
227,CO,83020.0,2006
228,CO,88860.0,2007
229,CO,85440.0,2008
230,CO,78730.0,2009
231,CO,83640.0,2010
232,CO,78960.0,2011
233,CO,75650.0,2012
234,CO,88650.0,2013
235,CO,78430.0,2014
236,CO,85780.0,2015
237,CO,90090.0,2016
238,CO,94080.0,2017
239,CO,89820.0,2018
240,CO,87870.0,2019
241,CO,100500.0,2020
242,CO,97540.0,2021
243,CO,95870.0,2022
244,CO,99140.0,2023
245,CO,106500.0,2024
246,CT,80730.0,1984
247,CT,81050.0,1985
248,CT,83920.0,1986
249,CT,81520.0,1987
250,CT,86630.0,1988
251,CT,96990.0,1989
252,CT,84950.0,1990
253,CT,88900.0,1991
254,CT,83990.0,1992
255,CT,79300.0,1993
256,CT,80710.0,1994
257,CT,77210.0,1995
258,CT,78730.0,1996
259,CT,80490.0,1997
260,CT,83960.0,1998
261,CT,89490.0,1999
262,CT,85780.0,2000
263,CT,89200.0,2001
264,CT,88170.0,2002
265,CT,88920.0,2003
266,CT,86960.0,2004
267,CT,87180.0,2005
268,CT,93020.0,2006
269,CT,93220.0,2007
270,CT,90680.0,2008
271,CT,91280.0,2009
272,CT,91640.0,2010
273,CT,88100.0,2011
274,CT,84880.0,2012
275,CT,90450.0,2013
276,CT,90300.0,2014
277,CT,93880.0,2015
278,CT,96930.0,2016
279,CT,93230.0,2017
280,CT,89550.0,2018
281,CT,105800.0,2019
282,CT,95280.0,2020
283,CT,92950.0,2021
284,CT,96720.0,2022
285,CT,94620.0,2023
286,CT,99240.0,2024
287,DE,69600.0,1984
288,DE,59910.0,1985
289,DE,65720.0,1986
290,DE,72550.0,1987
291,DE,72980.0,1988
292,DE,73490.0,1989
293,DE,67320.0,1990
294,DE,68720.0,1991
295,DE,73380.0,1992
296,DE,72380.0,1993
297,DE,70450.0,1994
298,DE,67010.0,1995
299,DE,73480.0,1996
300,DE,78750.0,1997
301,DE,74850.0,1998
302,DE,82470.0,1999
303,DE,86110.0,2000
304,DE,82940.0,2001
305,DE,82000.0,2002
306,DE,79300.0,2003
307,DE,75830.0,2004
308,DE,78590.0,2005
309,DE,78160.0,2006
310,DE,79340.0,2007
311,DE,71080.0,2008
312,DE,73350.0,2009
313,DE,76670.0,2010
314,DE,73610.0,2011
315,DE,64700.0,2012
316,DE,70610.0,2013
317,DE,74040.0,2014
318,DE,74390.0,2015
319,DE,74110.0,2016
320,DE,81510.0,2017
321,DE,79960.0,2018
322,DE,89920.0,2019
323,DE,83990.0,2020
324,DE,78860.0,2021
325,DE,86090.0,2022
326,DE,88570.0,2023
327,DE,85860.0,2024
328,FL,53330.0,1984
329,FL,55640.0,1985
330,FL,58600.0,1986
331,FL,60750.0,1987
332,FL,60780.0,1988
333,FL,59780.0,1989
334,FL,58320.0,1990
335,FL,57470.0,1991
336,FL,56250.0,1992
337,FL,57300.0,1993
338,FL,57530.0,1994
339,FL,57070.0,1995
340,FL,57280.0,1996
341,FL,59390.0,1997
342,FL,63020.0,1998
343,FL,63380.0,1999
344,FL,66440.0,2000
345,FL,60900.0,2001
346,FL,62800.0,2002
347,FL,63050.0,2003
348,FL,63980.0,2004
349,FL,65940.0,2005
350,FL,68080.0,2006
351,FL,66550.0,2007
352,FL,62890.0,2008
353,FL,64230.0,2009
354,FL,61190.0,2010
355,FL,60740.0,2011
356,FL,60870.0,2012
357,FL,63350.0,2013
358,FL,59390.0,2014
359,FL,62890.0,2015
360,FL,65340.0,2016
361,FL,66610.0,2017
362,FL,67210.0,2018
363,FL,70740.0,2019
364,FL,69280.0,2020
365,FL,68580.0,2021
366,FL,69680.0,2022
367,FL,74070.0,2023
368,FL,75630.0,2024
369,GA,53870.0,1984
370,GA,54870.0,1985
371,GA,62500.0,1986
372,GA,66270.0,1987
373,GA,63550.0,1988
374,GA,63120.0,1989
375,GA,60230.0,1990
376,GA,57390.0,1991
377,GA,59220.0,1992
378,GA,63540.0,1993
379,GA,61800.0,1994
380,GA,65420.0,1995
381,GA,60740.0,1996
382,GA,67090.0,1997
383,GA,69810.0,1998
384,GA,69730.0,1999
385,GA,71640.0,2000
386,GA,71190.0,2001
387,GA,70910.0,2002
388,GA,68660.0,2003
389,GA,64680.0,2004
390,GA,70440.0,2005
391,GA,73550.0,2006
392,GA,70690.0,2007
393,GA,64810.0,2008
394,GA,61000.0,2009
395,GA,61260.0,2010
396,GA,61910.0,2011
397,GA,63580.0,2012
398,GA,61340.0,2013
399,GA,63780.0,2014
400,GA,65390.0,2015
401,GA,68340.0,2016
402,GA,72750.0,2017
403,GA,68650.0,2018
404,GA,68630.0,2019
405,GA,71090.0,2020
406,GA,70610.0,2021
407,GA,72200.0,2022
408,GA,74290.0,2023
409,GA,81210.0,2024
410,HI,77840.0,1984
411,HI,75500.0,1985
412,HI,74380.0,1986
413,HI,86880.0,1987
414,HI,79000.0,1988
415,HI,80290.0,1989
416,HI,85060.0,1990
417,HI,78550.0,1991
418,HI,86610.0,1992
419,HI,85620.0,1993
420,HI,82990.0,1994
421,HI,82210.0,1995
422,HI,78080.0,1996
423,HI,74910.0,1997
424,HI,73710.0,1998
425,HI,78720.0,1999
426,HI,88130.0,2000
