,population,state,year
0,1830.0,AL,1900
1,1907.0,AL,1901
2,1935.0,AL,1902
3,1957.0,AL,1903
4,1978.0,AL,1904
5,2012.0,AL,1905
6,2045.0,AL,1906
7,2058.0,AL,1907
8,2070.0,AL,1908
9,2108.0,AL,1909
10,2150.0,AL,1910
11,2185.0,AL,1911
12,2217.0,AL,1912
13,2279.0,AL,1913
14,2336.0,AL,1914
15,2345.0,AL,1915
16,2359.0,AL,1916
17,2361.0,AL,1917
18,2343.0,AL,1918
19,2337.0,AL,1919
20,2359.0,AL,1920
21,2402.0,AL,1921
22,2434.0,AL,1922
23,2464.0,AL,1923
24,2501.0,AL,1924
25,2534.0,AL,1925
26,2567.0,AL,1926
27,2609.0,AL,1927
28,2640.0,AL,1928
29,2644.0,AL,1929
30,2647.0,AL,1930
31,2649.0,AL,1931
32,2653.0,AL,1932
33,2661.0,AL,1933
34,2685.0,AL,1934
35,2719.0,AL,1935
36,2743.0,AL,1936
37,2762.0,AL,1937
38,2787.0,AL,1938
39,2814.0,AL,1939
40,2845.0,AL,1940
41,2902.0,AL,1941
42,2941.0,AL,1942
43,2902.0,AL,1943
44,2802.0,AL,1944
45,2775.0,AL,1945
46,2911.0,AL,1946
47,2942.0,AL,1947
48,2969.0,AL,1948
49,3000.0,AL,1949
50,3058.0,AL,1950
51,3059.0,AL,1951
52,3068.0,AL,1952
53,3053.0,AL,1953
54,3014.0,AL,1954
55,3050.0,AL,1955
56,3071.0,AL,1956
57,3109.0,AL,1957
58,3163.0,AL,1958
59,3204.0,AL,1959
60,3274.0,AL,1960
61,3316.0,AL,1961
62,3323.0,AL,1962
63,3358.0,AL,1963
64,3395.0,AL,1964
65,3443.0,AL,1965
66,3464.0,AL,1966
67,3458.0,AL,1967
68,3446.0,AL,1968
69,3440.0,AL,1969
70,3444.354,AL,1970
71,3497.076,AL,1971
72,3539.4,AL,1972
73,3579.78,AL,1973
74,3626.499,AL,1974
75,3678.814,AL,1975
76,3735.139,AL,1976
77,3780.403,AL,1977
78,3831.836,AL,1978
79,3866.248,AL,1979
80,3900.368,AL,1980
81,3918.531,AL,1981
82,3925.266,AL,1982
83,3934.102,AL,1983
84,3951.82,AL,1984
85,3972.523,AL,1985
86,3991.569,AL,1986
87,4015.264,AL,1987
88,4023.844,AL,1988
89,4030.222,AL,1989
90,4048.508,AL,1990
91,4091.025,AL,1991
92,4139.269,AL,1992
93,4193.114,AL,1993
94,4232.965,AL,1994
95,4262.731,AL,1995
96,4290.403,AL,1996
97,4320.281,AL,1997
98,4351.037,AL,1998
99,4369.862,AL,1999
100,4452.173,AL,2000
101,4467.634,AL,2001
102,4480.089,AL,2002
103,4503.491,AL,2003
104,4530.729,AL,2004
105,4569.805,AL,2005
106,4628.981,AL,2006
107,4672.84,AL,2007
108,4718.206,AL,2008
109,4757.938,AL,2009
110,4785.514,AL,2010
111,4799.642,AL,2011
112,4816.632,AL,2012
113,4831.586,AL,2013
114,4843.737,AL,2014
115,4854.803,AL,2015
116,4866.824,AL,2016
117,4877.989,AL,2017
118,4891.628,AL,2018
119,4907.965,AL,2019
120,5032.962,AL,2020
121,5050.058,AL,2021
122,5076.868,AL,2022
123,5117.85,AL,2023
124,5163.055,AL,2024
125,5193.088,AL,2025
126,135.0,AK,1950
127,158.0,AK,1951
128,189.0,AK,1952
129,205.0,AK,1953
130,215.0,AK,1954
131,222.0,AK,1955
132,224.0,AK,1956
133,231.0,AK,1957
134,224.0,AK,1958
135,224.0,AK,1959
136,229.0,AK,1960
137,238.0,AK,1961
138,246.0,AK,1962
139,256.0,AK,1963
140,263.0,AK,1964
141,271.0,AK,1965
142,271.0,AK,1966
143,278.0,AK,1967
144,285.0,AK,1968
145,296.0,AK,1969
146,302.583,AK,1970
147,315.51,AK,1971
148,324.464,AK,1972
149,330.543,AK,1973
150,341.063,AK,1974
151,376.17,AK,1975
152,400.969,AK,1976
153,403.436,AK,1977
154,404.766,AK,1978
155,402.753,AK,1979
156,405.315,AK,1980
157,418.491,AK,1981
158,449.606,AK,1982
159,488.417,AK,1983
160,513.702,AK,1984
161,532.495,AK,1985
162,544.268,AK,1986
163,539.309,AK,1987
164,541.983,AK,1988
165,547.159,AK,1989
166,553.12,AK,1990
167,569.273,AK,1991
168,587.073,AK,1992
169,596.993,AK,1993
170,600.624,AK,1994
171,601.345,AK,1995
172,604.918,AK,1996
173,608.846,AK,1997
174,615.205,AK,1998
175,619.5,AK,1999
176,627.963,AK,2000
177,633.714,AK,2001
178,642.337,AK,2002
179,648.414,AK,2003
180,659.286,AK,2004
181,666.946,AK,2005
182,675.302,AK,2006
183,680.3,AK,2007
184,687.455,AK,2008
185,698.895,AK,2009
186,713.982,AK,2010
187,722.349,AK,2011
188,730.81,AK,2012
189,737.626,AK,2013
190,737.075,AK,2014
191,738.43,AK,2015
192,742.575,AK,2016
193,740.983,AK,2017
194,736.624,AK,2018
195,733.603,AK,2019
196,732.906,AK,2020
197,734.59,AK,2021
